distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10,abs_derivative:Raw,abs_derivative:Median+Gaussian,abs_derivative:Huber MRF lambda=0.1,abs_derivative:Huber MRF lambda=1,abs_derivative:Huber MRF lambda=10
309,46832.0,46672.174650357534,46799.16737960735,46708.477461659575,46677.448303136654,344.0,13.309502737844014,285.85705465015417,129.30919480833109,34.109223969433515,344.0,13.309502737844014,285.85705465015417,129.30919480833109,34.109223969433515
310,46912.0,46684.70009844367,46876.93233501504,46776.02538729769,46703.82994226292,-144.0,11.527305091116432,-97.57336951711113,-0.43938071303637116,15.97313623941227,144.0,11.527305091116432,97.57336951711113,0.43938071303637116,15.97313623941227
311,46544.0,46695.22926053977,46604.02064057313,46707.5987002335,46709.39457561548,40.0,9.449723192385136,27.19150842374438,13.37266305256344,13.834362133329705,40.0,9.449723192385136,27.19150842374438,13.37266305256344,13.834362133329705
312,46992.0,46703.59954482844,46931.315351862526,46802.77071340282,46731.49866652958,40.0,7.355820562908775,23.87147060201096,0.5573698707230506,9.07902424058193,40.0,7.355820562908775,23.87147060201096,0.5573698707230506,9.07902424058193
313,46624.0,46709.940901665585,46651.76358177715,46708.71343997495,46727.55262409664,-176.0,5.520539071476378,-140.73386119962015,-51.70055344039429,1.2315887718941667,176.0,5.520539071476378,140.73386119962015,51.70055344039429,1.2315887718941667
314,46640.0,46714.64062297139,46649.847629463286,46699.36960652203,46733.96184407337,64.0,4.180692631394777,47.322195002543594,20.340969808094087,11.10731218039291,64.0,4.180692631394777,47.322195002543594,20.340969808094087,11.10731218039291
315,46752.0,46718.302286928374,46746.40797178224,46749.39537959114,46749.76724845743,64.0,3.497214832706959,68.60020123013965,48.72346286467655,15.693766806933127,64.0,3.497214832706959,68.60020123013965,48.72346286467655,15.693766806933127
316,46768.0,46721.635052636804,46787.048031923565,46796.81653225138,46765.349377687235,160.0,3.538344650532963,135.88021975914307,61.82941878593556,15.44959811416993,160.0,3.538344650532963,135.88021975914307,61.82941878593556,15.44959811416993
317,47072.0,46725.37897622944,47018.168411300525,46873.05421716301,46780.66644468577,-40.0,4.279292787079612,-38.037564120426396,-23.235206506866234,0.7503892328204529,40.0,4.279292787079612,38.037564120426396,23.235206506866234,0.7503892328204529
318,46688.0,46730.19363821096,46710.97290368271,46750.34611923765,46766.850156152876,-224.0,5.590255606723076,-192.33098920425255,-91.53503830653426,-9.873780725250981,224.0,5.590255606723076,192.33098920425255,91.53503830653426,9.873780725250981
319,46624.0,46736.559487442886,46633.50643289202,46689.98414054994,46760.91888323527,-16.0,7.2687124570438755,-29.934306330611435,-27.369908412740187,0.9146712441579439,16.0,7.2687124570438755,29.934306330611435,27.369908412740187,0.9146712441579439
320,46656.0,46744.73106312505,46651.10429102149,46695.60630241217,46768.67949864119,-24.0,9.070702385106415,-6.880686763095582,25.42531306831006,13.394590337982663,24.0,9.070702385106415,6.880686763095582,25.42531306831006,13.394590337982663
321,46576.0,46754.7008922131,46619.74505936583,46740.83476668656,46787.70806391123,352.0,10.741425707663439,313.83871828176416,127.64584761767037,29.61396846560092,352.0,10.741425707663439,313.83871828176416,127.64584761767037,29.61396846560092
322,47360.0,46766.21391454038,47278.78172758502,46950.89799764751,46827.90743557239,-112.0,12.063789680643822,-93.26339322161948,5.512229784701049,13.594743439782178,112.0,12.063789680643822,93.26339322161948,5.512229784701049,13.594743439782178
323,46352.0,46778.82847157439,46433.21827292259,46751.85922625596,46814.897550790796,-48.0,12.906032744489494,-44.70270915110814,0.890841736440052,10.134992757939472,48.0,12.906032744489494,44.70270915110814,0.890841736440052,10.134992757939472
324,47264.0,46792.02598002936,47189.3763092828,46952.67968112039,46848.17742108827,248.0,13.254174610803602,208.00624813346076,45.16029542461547,12.488741351891804,248.0,13.254174610803602,208.00624813346076,45.16029542461547,12.488741351891804
325,46848.0,46805.336820795994,46849.23076918951,46842.17981710519,46839.87503349458,-408.0,13.218470913281635,-333.9916941457377,-113.40995546259728,-8.70863591896341,408.0,13.218470913281635,333.9916941457377,113.40995546259728,8.70863591896341
326,46448.0,46818.46292185592,46521.392920991326,46725.859770195195,46830.760149250345,56.0,13.021967788547045,44.69374689425604,22.6098381876036,10.023123218285036,56.0,13.021967788547045,44.69374689425604,22.6098381876036,10.023123218285036
