distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
983,43824.0,43598.871371518384,43862.390715723304,43860.580418210135,43697.02730529807,-24.0,11.649509121718438,-18.744908674609178,27.304520708446944,18.305993998234044
984,44080.0,43609.30871954282,44035.599385665235,43906.17514802365,43708.984664561205,-40.0,9.15102110341104,-48.7944017318805,-41.31769617466125,-6.593407508800738
985,43744.0,43617.173413725206,43764.80191225954,43777.94502586081,43683.84049028047,-184.0,6.798448860969074,-166.78791210796044,-111.25760923243433,-28.15214976671632
986,43712.0,43622.90561726476,43702.023561449314,43683.65992955878,43652.68036502777,-104.0,5.10995641108093,-112.66054356365566,-108.45513152263811,-34.12610700130608
987,43536.0,43627.39332654737,43539.48082513223,43561.034762815536,43615.58827627786,-152.0,4.432535105501302,-145.13861065591482,-110.10778533548,-33.11267493602281
988,43408.0,43631.770687475764,43411.746340137484,43463.44435888782,43586.45501515573,-120.0,4.876303449316765,-109.00278430732942,-69.86822448380553,-20.210510364344373
989,43296.0,43637.145933446,43321.47525651757,43421.298313847925,43575.16725554917,40.0,6.295294620515051,37.1051989679363,20.503111884070677,2.6706031708963565
990,43488.0,43644.361276716794,43485.95673807336,43504.45058265596,43591.79622149752,168.0,8.351078306859563,154.26517192255778,91.37756013601756,21.818777023232542
991,43632.0,43653.84809005972,43630.00560036269,43604.05343411996,43618.80480959563,152.0,10.594871712368331,134.07686410277165,85.62956852398202,26.348828577891254
992,43792.0,43665.55102014153,43754.1104662789,43675.709719703926,43644.4938786533,-96.0,12.563264014530432,-65.34280268927614,13.511145435928483,18.313762990335817
993,43440.0,43678.97461808878,43499.31999498414,43631.07572499182,43655.432335576304,96.0,13.877109030207066,88.14993042426431,50.90386778379616,21.710073701819056
994,43984.0,43693.305238201945,43930.41032712743,43777.51745527152,43687.91402605694,152.0,14.300812804944144,116.8015409820946,43.20045791545999,17.677391783479834
995,43744.0,43707.57624369867,43732.923076948326,43717.47664082274,43690.787119143264,-312.0,13.761339977179887,-252.87186543746066,-73.30249403741254,0.21244904348714044
996,43360.0,43720.827918156305,43424.66659625251,43630.91246719669,43688.338924143914,128.0,12.333811550954124,113.57899400562383,48.89205997230238,13.968751207848982
997,44000.0,43732.24386680058,43960.08106495957,43815.26076076734,43718.72462155896,280.0,10.194984994319384,237.31730006602447,91.97867395432331,16.321928492990992
998,43920.0,43741.21788814494,43899.30119638456,43814.86981510534,43720.9827811299,-200.0,7.558894240108202,-164.2738866522377,-52.95603810933244,-7.692701372565352
999,43600.0,43747.361655280794,43631.5332916551,43709.34868454868,43703.33921881383,-128.0,4.626139194519055,-110.10144645398395,-50.84678828232791,-12.476601375379687
1000,43664.0,43750.47016653398,43679.09830347659,43713.176238540684,43696.02957837914,152.0,1.5504632019765268,123.05652920445209,28.41567326234872,-5.708161515733082
1001,43904.0,43750.46258168475,43877.646350064,43766.180031073374,43691.922895782365,88.0,-1.575649586662621,66.77979690743814,-15.906191930622299,-14.710537807655783
1002,43840.0,43747.31886736066,43812.657897291465,43681.36385467944,43666.608502763826,-440.0,-4.699298393283243,-392.9822270803961,-164.13424905421198,-33.983967880347336
1003,43024.0,43741.06398489818,43091.68189590321,43437.91153296495,43623.95496002167,-40.0,-7.773856163210439,-50.3412932199717,-36.496555232009996,-12.655794741069258
1004,43760.0,43731.771155034236,43711.97531085152,43608.37074421542,43641.29691328169,256.0,-10.727864498581766,239.2280013188756,94.64458335817471,11.40679892409753
