angle_deg,image_index,image,method,rmse_from_raw,mae_from_raw,residual_std,derivative_noise_mad,max_abs_derivative,max_abs_derivative_position,major_candidate_position,major_candidate_shift_from_median_gaussian,main_peak_prominence,main_peak_width,significant_peak_count,artificial_peak_suspect_count,assessment
180,30,img134551_ 30_180.tiff,Huber MRF lambda=1,233.18329170991774,187.71612139124522,233.18329170991774,120.00233472533482,466.2762690574418,1197,1197,150,403.2227332603761,2.2585938820247975,3,0,candidate_only_not_PD
180,30,img134551_ 30_180.tiff,Huber MRF lambda=10,340.3658858370957,275.18200871274246,340.3658858370957,34.902108274083716,170.50830953848708,1048,1048,1,170.38001858788266,6.777553532630122,5,0,candidate_only_not_PD
186,31,img134556_ 31_186.tiff,Raw,0.0,0.0,0.0,201.6336,776.0,1083,1083,23,776.0,1.1513755062142081,6,0,candidate_only_not_PD
186,31,img134556_ 31_186.tiff,Median+Gaussian,306.4046632397959,238.1181317527689,306.3260384032932,13.605620765475084,87.28148270085148,1060,1060,0,87.013130712352,8.814676206304739,4,0,candidate_only_not_PD
186,31,img134556_ 31_186.tiff,Huber MRF lambda=0.1,45.25341547682576,37.98286810674343,45.25341547682576,181.24495029125174,694.7817285848869,1083,1083,23,694.1279112837219,1.117944235960067,5,0,candidate_only_not_PD
186,31,img134556_ 31_186.tiff,Huber MRF lambda=1,189.5187830616483,150.6363226527336,189.5187830616483,92.84550485954925,361.7968371298739,1072,1072,12,361.4126797717072,2.2101762210264724,4,0,candidate_only_not_PD
186,31,img134556_ 31_186.tiff,Huber MRF lambda=10,277.3736130089621,219.64082051387413,277.3736130089621,27.97733328876943,159.6384176357933,1060,1060,0,159.57770383611205,5.599613524639153,7,0,candidate_only_not_PD
192,32,img134600_ 32_192.tiff,Raw,0.0,0.0,0.0,237.21599999999998,824.0,857,857,-203,824.0,1.3178178963893288,3,0,candidate_only_not_PD
192,32,img134600_ 32_192.tiff,Median+Gaussian,318.55097267295963,248.0784471082343,318.4679136290884,15.260953896836133,83.76223548808048,1060,1060,0,83.737448182339,10.147764390070279,4,0,candidate_only_not_PD
192,32,img134600_ 32_192.tiff,Huber MRF lambda=0.1,47.24963014390877,39.57306780351822,47.24963014390877,201.68882531310325,738.2696213274576,857,857,-203,738.2215578524774,1.3078380605925304,3,0,candidate_only_not_PD
192,32,img134600_ 32_192.tiff,Huber MRF lambda=1,198.57367398776205,156.92444139443046,198.57367398776205,95.59960435155111,345.5663646999201,1059,1059,-1,345.0275849931968,4.21973309221562,5,0,candidate_only_not_PD
